semantic_contract_version,url,source,source_country,published_at,discovered_via,title,regex_relevance_decision,pipeline_final_stage,prefilter_status,rejection_reason,semantic_model_text,semantic_text_sha256,semantic_text_chars,semantic_text_truncated,original_text_length,extraction_strategy,event_region,event_locality,event_object,event_problem,event_signature
1.0,https://ru.belsat.eu/95214149/navodnenie-v-nepale,Белсат,Беларусь,2026-09-04T07:29:00+00:00,feed:https://ru.belsat.eu/rss,Через девять дней после наводнения в Непале с глубины 170 метров вытащили живых людей,REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: Через девять дней после наводнения в Непале с глубины 170 метров вытащили живых людей
SUMMARY: 4 сентября из тоннеля на глубине 170 метров, который соединен с гидроэлектростанцией на реке Тришули в Непале, где произошло смертельное наводнение, вытащили двух работников.
TEXT: Мы обрабатываем ваши данные для демонстрации контента или рекламы и измеряем демонстрацию такого контента или рекламы, чтобы получить представление о работе нашего веб-сайта. Мы предоставляем эту информацию своим партнерам на основании согласия и законных интересов. Вы можете воспользоваться своим правом на согласие с законными интересами или возражение против них в соответствии с конкретной целью ниже или на уровне партнера, перейдя по ссылке, расположенной под каждой целью. Ваши настройки будут переданы нашим поставщикам, придерживающимся стандарта Transparency and Consent Framework. Дополнительная информация Файлы cookie или аналогичные онлайн-идентификаторы устройства (например, идентификаторы на основе входа в систему, случайно назначенные идентификаторы, сетевые идентификаторы) вместе с другой информацией (например, тип браузера и информации, язык, размер экрана, поддерживаемые технологии и т. д.) могут храниться или считываться на вашем устройстве, чтобы распознавать его каждый раз, когда оно подключается к приложению или веб-сайту, для одной или нескольких целей, описанных здесь. Эти файлы cookie позволяют нам подсчитывать количество посещений и источников трафика, чтобы оценивать и улучшать работу нашего веб-сайта. Благодаря им мы знаем, какие страницы являются наиболее и наименее популярными, и видим, каким образом посетители перемещаются по веб-сайту. Все данные, собираемые при помощи этих cookie, группируются в статистику, а значит, являются анонимными. Если вы не одобрите использование этих файлов cookie, у нас не будет данных о посещении вами нашего веб-сайта. Эти файлы cookie настраиваются через наш веб-сайт нашими партнерами по рекламе. Они могут использоваться этими компаниями для сбора данных о ваших интересах и отображения для вас актуальной рекламы на других веб-сайтах. Они работают посредством уникальной идентификации вашего браузера и устройства. Если вы не одобрите использование этих файлов cookie, вам не будет демонстрироваться наша адресная реклама на различных веб-сайтах. Реклама, демонстрируемая вам на этом сервисе, может быть основана на ограниченных данных, таких как используемый вами веб-сайт или приложение, ваше примерное местоположение, тип вашего устройства или контент, с которым вы взаимодействуете (или с которым вы взаимодействовали), (например, для ограничения количества показов вам рекламы). Информация о вашей деятельности на этом сервисе (например, формы, которые вы отправляете, контент, который вы просматриваете) может храниться и объединяться с другой информацией о вас (например, информацией о вашей предыдущей деятельности на этом сервисе и других веб-сайтах или приложениях) или аналогичных пользователях. Затем она используется для создания или совершенствования профиля о вас (который может включать в себя возможные интересы и личные аспекты). Ваш профиль может использоваться (в том числе позднее) этой и другими организациями для демонстрации рекламы, которая кажется более актуальной на основании ваших возможных интересов. Реклама, продемонстрированная вам на этом сервисе, может быть основана на ваших рекламных профилях, которые могут отражать вашу деятельность на этом сервисе или других веб-сайтах или приложениях (например, формы, которые вы отправляете, контент, который вы просматриваете), возможных интересах и личных аспектах. Информация о вашей деятельности на этом сервисе (например, формы, которые вы отправляете, нерекламный контент, который вы просматриваете) может храниться и объединяться с другой информацией о вас (например, о вашей предыдущей деятельности на этом сервисе или других веб-сайтах или приложениях) или аналогичных пользователях. Затем это используется для создания или совершенствования профиля о вас (который может включать в себя, например, возможные интересы и личные аспекты). Ваш профиль может быть использован (в том числе позднее) для демонстрации контента, который кажется более актуальным с учетом ваших возможных интересов, например, путем адаптации порядка отображения контента, чтобы вам было еще проще найти контент, соответствующий вашим интересам. Контент, предложенный вам на этом сервисе, может быть основан на ваших профилях персонализации контента, которые могут отражать вашу деятельность на этом или других сервисах (например, отправляемые вами формы, контент, который вы просматриваете), возможные интересы и личные аспекты, например, путем адаптации порядка отображения контента, чтобы вам было еще проще найти (нерекламный) контент, который соответствует вашим интересам. Информация о том, какую рекламу вам демонстрируют и как вы взаимодействуете с ней, может быть использована для определения того, насколько хорошо реклама сработала на вас или других пользователях, и были ли достигнуты цели рекламы. Например, видели ли вы рекламу, нажали ли вы на нее, заставила ли она вас купить продукт или посетить веб-сайт и т. д. Это очень полезно для понимания актуальности рекламных кампаний. Информация о том, какой контент продемонстрирован вам и как вы взаимодействуете с ним, может быть использована для определения того, достиг ли (нерекламный) контент, например, целевой аудитории и соответствует ли он вашим интересам. Например, читаете ли вы статью, смотрите видео, слушаете подкаст или смотрите описание продукта, сколько времени вы провели на этом сервисе, какие веб-страницы вы посещаете и т. д. Это очень полезно для понимания актуальности (нерекламного) контента, который вам показывается. Отчеты могут создаваться на основе комбинации наборов данных (таких как профили пользователей, статистика, маркетинговые исследования, данные аналитики) о вашем взаимодействии и взаимодействии других пользователей с рекламным или (нерекламным) контентом для выявления общих характеристик (например, чтобы определить, какая целевая аудитория более восприимчива к рекламной кампании или к определенному контенту). Информация о вашей деятельности на этом сервисе, например, ваше взаимодействие с рекламой или контентом, может быть очень полезной для совершенствования продуктов и сервисов, а также для создания новых продуктов и сервисов на основе взаимодействия с пользователями, типа аудитории и т. д. Эта конкретная цель не включает в себя разработку или совершенствование профилей и идентификаторов пользователей. Контент, продемонстрированный вам на этом сервисе, может быть основан на ограниченных данных, таких как веб-сайт или приложение, которые вы используете, ваше примерное местоположение, тип вашего устройства или контент, с которым вы взаимодействуете (или с которым вы взаимодействовали) (например, для ограничения количества раз демонстрации вам видеоролика или статьи). С вашего согласия ваше точное местоположение (в радиусе менее 500 м) может быть использовано в целях, описанных в настоящем уведомлении. С вашего согласия могут быть запрошены и использованы определенные характеристики, специфичные для вашего устройства, чтобы отличать его от других устройств (например, установленные шрифты или плагины, разрешение вашего экрана) в целях, описанных в этом уведомлении. Эти файлы cookie позволяют предоставлять улучшенную функциональность и персонализацию, например для онлайн-чатов и видеороликов. Они могут настраиваться нами или сторонними поставщиками, услуги которых содержатся на наших страницах. Если вы не одобрите использование этих файлов cookie, то, возможно, некоторые или все эти функции будут работать ненадлежащим образом. Ваши данные могут использоваться для мониторинга и предотвращения необычных и, возможно, мошеннических действий (например, в отношении рекламы, кликов ботов на объявления), а также для обеспечения правильной и безопасной работы систем и процессов. Они также могут использоваться для устранения любых проблем, с",08f383410748636e2c0906c6e24d93b9f92f7c57c1c961f0c809cf57f5d5ab37,7998,true,9825,generic_html,,,,,
1.0,https://t.me/nashaniva/121130,Наша Ніва,Беларусь,2026-09-04T07:51:14+00:00,telegram:https://t.me/s/nashaniva,25‑гадовага каардынатара IT-праектаў па вяртанні з Польшчы асудзілі за «садзейнічанне экстрэмізму»,REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: 25‑гадовага каардынатара IT-праектаў па вяртанні з Польшчы асудзілі за «садзейнічанне экстрэмізму»
TEXT: 25‑гадовага каардынатара IT-праектаў па вяртанні з Польшчы асудзілі за «садзейнічанне экстрэмізму» Ярамір Пуціцкі працаваў у буйных кампаніях сектара інфармацыйных тэхналогій і жыў у Польшчы. Нядаўна стала вядома пра вынесены яму прысуд у Мінскім гарадскім судзе. https://nashaniva.com/403776 Без VPN — https://storage.googleapis.com/nashaniva-by/read.html?page=/403776",c53a8152f7a42a3305d81394848959b4b58678a62e2bc000a0ad1f4121091113,481,false,369,inline_text,,,,повреждение/плохое состояние,
1.0,https://t.me/nashaniva/121136,Наша Ніва,Беларусь,2026-09-04T09:39:23+00:00,telegram:https://t.me/s/nashaniva,Беларускі брэнд замовіў вышыўку на адзенні — ім прыслалі партыю з недарэчнай памылкай у цытаце Якуба Коласа,REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: Беларускі брэнд замовіў вышыўку на адзенні — ім прыслалі партыю з недарэчнай памылкай у цытаце Якуба Коласа
TEXT: Беларускі брэнд замовіў вышыўку на адзенні — ім прыслалі партыю з недарэчнай памылкай у цытаце Якуба Коласа «Самая недарэчная сітуацыя, якая магла здарыцца з беларускім брэндам адзення», — скардзіцца ў інстаграме стваральніца Up to you Таццяна Хахлова. https://nashaniva.com/403857 Без VPN — https://storage.googleapis.com/nashaniva-by/read.html?page=/403857",381122a7adad236e4ab14c37a2ae76efcd5a50239ea0a38f442b9b68ab2b4621,479,false,358,inline_text,,,,,
1.0,https://t.me/nashaniva/121131,Наша Ніва,Беларусь,2026-09-04T08:13:41+00:00,telegram:https://t.me/s/nashaniva,Маці паскардзілася на траўмы 5‑гадовага сына ў псіхіятрычнай бальніцы Гомеля,KEEP,included,strong,,"TITLE: Маці паскардзілася на траўмы 5‑гадовага сына ў псіхіятрычнай бальніцы Гомеля
TEXT: Маці паскардзілася на траўмы 5‑гадовага сына ў псіхіятрычнай бальніцы Гомеля Што адказалі дактары? https://nashaniva.com/403853 Без VPN — https://storage.googleapis.com/nashaniva-by/read.html?page=/403853",e892e1afc0950bc3a870cbdf11203fdc8884db63cbd91eda8c960669818daecc,294,false,204,inline_text,Гомельская область,Гомель,медицина,опасность/безопасность,гомель|healthcare|safety
1.0,https://t.me/nashaniva/121132,Наша Ніва,Беларусь,2026-09-04T08:35:58+00:00,telegram:https://t.me/s/nashaniva,Першая замежная авіякампанія спыніла палёты ў Расію пасля папярэджання Зяленскага пра небяспеку ў небе,REJECT,relevance_rejected,needs_text,политическая тема: зяленск,"TITLE: Першая замежная авіякампанія спыніла палёты ў Расію пасля папярэджання Зяленскага пра небяспеку ў небе
TEXT: Першая замежная авіякампанія спыніла палёты ў Расію пасля папярэджання Зяленскага пра небяспеку ў небе https://nashaniva.com/403854 Без VPN — https://storage.googleapis.com/nashaniva-by/read.html?page=/403854",7fc95262ddd5c96e4d85c2718daf5b0c09abb7095ad09586c87c3092931c9f6f,324,false,208,inline_text,,,,условия труда,
1.0,https://t.me/nashaniva/121134,Наша Ніва,Беларусь,2026-09-04T09:20:42+00:00,telegram:https://t.me/s/nashaniva,У Непале праз дзевяць дзён пасля паводкі выратавалі двух рабочых,REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: У Непале праз дзевяць дзён пасля паводкі выратавалі двух рабочых
TEXT: У Непале праз дзевяць дзён пасля паводкі выратавалі двух рабочых Мужчын дасталі з тунэлю гідраэлектрастанцыі. https://nashaniva.com/403859 Без VPN — https://storage.googleapis.com/nashaniva-by/read.html?page=/403859",b01f74a3586e7872bbc50f133b3696a1da480ef1d94e3d825fcac79d492fe8a8,293,false,215,inline_text,,,,,
1.0,https://t.me/nashaniva/121133,Наша Ніва,Беларусь,2026-09-04T08:59:25+00:00,telegram:https://t.me/s/nashaniva,Урад Мелоні пабіў рэкорд знаходжання ва ўладзе ў пасляваеннай Італіі,REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: Урад Мелоні пабіў рэкорд знаходжання ва ўладзе ў пасляваеннай Італіі
TEXT: Урад Мелоні пабіў рэкорд знаходжання ва ўладзе ў пасляваеннай Італіі У пятніцу ўрад Джорджы Мелоні адзначае 1413 дзён бесперапыннага знаходжання ва ўладзе, які стаў самым доўгачасовым урадам у гісторыі Італьянскай Рэспублікі пасля Беніта Мусаліні. https://nashaniva.com/403856 Без VPN — https://storage.googleapis.com/nashaniva-by/read.html?page=/403856",9f371f8841fce642f873a00303368f3d28d3a84a05319088c4d7678894cd8774,435,false,353,inline_text,,,,,
1.0,https://pozirk.online/ru/news/202410,Позірк,Беларусь,2026-09-04T09:43:22+00:00,homepage,Инсценировано нападение на руководство МВД — в рамках проверки боеготовности | Pozirk,REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: Инсценировано нападение на руководство МВД — в рамках проверки боеготовности | Pozirk
TEXT: 4 сентября, Позірк . В рамках проверки боеготовности внутренних войск (ВВ) силовики “в кратчайшие сроки вычислили и задержали напавшую на руководство МВД группу”, заявила пресс-служба ведомства. Министр Иван Кубраков, подводя итоги первых суток учений на тематическом совещании, “дал оценку действиям военнослужащих 7-й отдельной специальной милицейской бригады, бойцов других спецподразделений внутренних войск“ (не уточняется, какую именно. — “Позірк“. ). “Предполагаемые преступники“, совершившие “нападение на руководство“ ведомства, были задержаны “буквально в течение 20 минут, несмотря на то, что, скрылись в лесу”. Также обсуждалось обеспечение безопасности подразделений на местах и “качественного проведения мобилизации“. В частности, от военных комиссариатов принято пять единиц боевой техники, в ВВ направлено около ста военнообязанных (в том числе пять офицеров), “разработаны и утверждены расписание занятий <…> на весь период сборов и план сдачи зачетов по физической и огневой подготовке“. Во время инспекции 1-го отдельного стрелкового батальона 7-й отдельной специальной милицейской бригады (в/ч 5524) в Орше (Витебская область) все подразделения были переведены в полную боевую готовность, отчитался Кубраков. По его словам, выявлены “некоторые проблемные моменты — они касаются в большей степени тылового обеспечения“. Накануне в рамках поверки отработался сценарий прорыва белорусской границы на внедорожниках. О том, что госсекретарь Совета безопасности Александр Вольфович передал Кубракову распоряжение о “приведении в боевую готовность в соответствии с предназначением“ 7-й спецбригады ВВ МВД, стало известно 2 сентября. Внутренние войска были активно задействованы в подавлении массовых протестов в 2020 году, привлекались к разгонам уличных акций и в прежние годы. С конца 2022 года в составе ВВ МВД активно создаются новые спецподразделения, в первую очередь из числа контрактников, ранее отслуживших во внутренних войсках. Тренировками бойцов спецотрядов ВВ занимались действующие и бывшие боевики российской ЧВК “Вагнер“.",b242cae2ee8938475c7db792533fceb09f23ae18a48a4aacfc48100040f8045d,2150,false,2051,source_specific,,,,,
1.0,https://pozirk.online/ru/news/202394,Позірк,Беларусь,2026-09-04T08:57:54+00:00,homepage | telegram:https://t.me/s/pozirkonline,Литовская разведка не видит роста военной угрозы со стороны Беларуси — советник президента,REJECT,relevance_rejected,needs_text,политическая тема: ціханоўск,"TITLE: Литовская разведка не видит роста военной угрозы со стороны Беларуси — советник президента
TEXT: Літоўская выведка не бачыць росту ваеннай пагрозы з боку Беларусі — дарадца прэзідэнта Літва на дадзены момант не валодае інфармацыяй пра рост ваеннай пагрозы з боку Беларусі і не можа пацвердзіць заявы дэмакратычнага лідара Святланы Ціханоўскай пра будаўніцтва новай ваеннай інфраструктуры ў краіне, заявіў галоўны дарадца прэзідэнта краіны Дэйвідас Матулёніс . ""З боку Беларусі на сённяшні дзень мы не бачым узрослай пагрозы. Так, ёсць пэўныя расійскія ваенныя аб'екты, але новых манеўраных частак, якія ўяўлялі б прамую пагрозу Літве, Латвіі або Польшчы, мы дакладна не бачым"", — цытуе Матулёніса LRT. Выведка Літвы адсочвае сітуацыю ў Беларусі і ""неадкладна зверне ўвагу на магчымае засяроджванне расійскіх войскаў"", сказаў ён. ✅ Падрабязнасці 🗝 Без VPN 📷 Вільнюс. Фота: ""Позірк""",535883eafdea8e3a893afbcb29f60ddc53fe6d2c2f2ad157b69c67c669e41860,887,false,783,inline_text,,,,опасность/безопасность,
1.0,https://pozirk.online/ru/news/202402,Позірк,Беларусь,2026-09-04T09:41:11+00:00,homepage | telegram:https://t.me/s/pozirkonline,"МАРТ недоволен обилием импорта овощных консервов — производство огурцов падает, квашеной капусты остается на прежнем уровне",REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: МАРТ недоволен обилием импорта овощных консервов — производство огурцов падает, квашеной капусты остается на прежнем уровне
TEXT: МАРТ недоволен обилием импортных овощных консервов: производство огурцов падает, квашеной капусты — не растет “Необходимые меры“ по увеличению доли продаж отечественных овощных консервов на потребительском рынке обсуждены на “рабочей встрече под руководством заместителя министра антимонопольного регулирования и торговли Светланы Короткевич “, сообщила пресс-служба МАРТ. По данным ведомства, ассортимент белорусских овощных консервов в крупных торговых сетях “насчитывает до 179 разновидностей, тогда как импортных предложений почти в три раза больше — до 505“. 👆 27 августа Короткевич на тематическом семинаре пообещала “серьезный спрос“ за выполнение показателей по итогам 2026-го“ по “насыщению полок“ товарами белорусской продукции. ✅ Подробности 🗝 Без VPN 📷 Иллюстративное фото: magnific.com",a3837c2b1f8312820083aaa4a602ed64510f751579271055441364aaf2bfd129,935,false,798,inline_text,,,магазин/торговля,,
1.0,https://pozirk.online/ru/news/202406,Позірк,Беларусь,2026-09-04T09:27:12+00:00,homepage,Министр образования оправдывает досмотр в школах: 1 сентября дети пытались пронести ножи | Pozirk,REJECT,relevance_rejected,possible,нет связки социальной темы и проблемы,"TITLE: Министр образования оправдывает досмотр в школах: 1 сентября дети пытались пронести ножи | Pozirk
TEXT: 4 сентября, Позірк . В школах речь не идет о “тотальном досмотре“ учеников на входе, заявил госСМИ министр образования Андрей Иванец, комментируя соответствующие нововведения. По его мнению, родители должны перед выходом ребенка в школу убедиться, что в его сумке нет ножа или других запрещенных предметов. “Уже 1 сентября та работа, которую мы провели совместно с МВД, показала, что, к сожалению, у нас <…> были выявлены дети, которые пытались пронести в школу ножи“, — сказал чиновник. 27 августа со ссылкой на начальника Департамента охраны МВД Александра Шепелева сообщалось, что его представители смогут проводить досмотр учащихся в присутствии педагогического работника (согласно постановлению правительства от 19 июня 2026 года № 307 “Об осуществлении охранной деятельности“). Ранее требовалось присутствие законного представителя ребенка. Заместитель министра образования Владимир Долженков сообщил , что к началу учебного года недостатки устранены в 2 тыс. школ. Говоря о безопасности учащихся, замминистра отметил, что все учреждения образования оборудованы тревожными кнопками, “достаточно большое количество“ — системами видеонаблюдения“.",1c86fa1bf5dfc4c7e955f17bfe8a8b339c3feac6d612d013d94c551e68491aa3,1261,false,1150,source_specific,,,школа/детский сад,,
1.0,https://pozirk.online/be/news/202397,Позірк,Беларусь,2026-09-04T07:03:14+00:00,telegram:https://t.me/s/pozirkonline,"У жніўні тэмпература паветра ў Беларусі вагалася ад 2,6 да 40,3 градуса",REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: У жніўні тэмпература паветра ў Беларусі вагалася ад 2,6 да 40,3 градуса
TEXT: У жніўні тэмпература паветра ў Беларусі вагалася ад 2,6 да 40,3 градуса Жнівень 2026 года ў Беларусі быў на 0,4 градуса цяплейшым за кліматычную норму (18,4 градуса супраць 18), паведамляе Белгідрамет у месячным аглядзе. Адзначаецца, што такая і больш высокая сярэднямесячная тэмпература паветра ў жніўні рэгіструецца адзін раз у два-тры гады. Самы гарачы жнівень быў у 2010 годзе з сярэднямесячнай тэмпературай 20,8 градуса, самы халодны — у 1987 годзе (14,3). ☝️ Максімальнага значэння (40,3) тэмпература паветра дасягнула 6 жніўня ў Мазыры, што стала рэкордам для апошняга месяца лета. Абнавіліся месячныя рэкорды таксама ў Лельчыцах (39,6), Жыткавічах (38,9), Васілевічах (38,6), Пінску (38,3), на станцыі Палеская ў Лунінецкім раёне (37,8), у Брэсце (37,6), Пружанах (36). ✅ Падрабязнасці 🗝 Без VPN 📷 ""Позірк""",a0a18e29a9bf5603c0685b06f3ba256a2ce2446f9eb01ea0533470ed132d0a3a,899,false,814,inline_text,,,,условия труда,
1.0,https://charter97.org/ru/news/2026/9/4/697243,Хартия-97,Беларусь,2026-09-04T08:32:52+00:00,feed:https://charter97.org/ru/rss/society/,Армейский эксперимент Лукашенко обернулся неудобным выводом,REJECT,relevance_rejected,needs_text,политическая тема: лукашенко,"TITLE: Армейский эксперимент Лукашенко обернулся неудобным выводом
SUMMARY: Вольфович неожиданно заговорил об ответственности руководителей.
TEXT: Вольфович неожиданно заговорил об ответственности руководителей. Глава Совбеза Александр Вольфович поделился выводами о «перевоспитании» проштрафившихся сельчан , пишет «Салідарнасць» . «В нашей стране нет абсолютно равнодушных людей. С ними просто нужно работать. Людей поставили в армейские рамки, у них четкий, жесткий распорядок», — заявил Александр Вольфович, посещая 30-ю отдельную железнодорожную бригаду в Слуцке. Здесь на сборах оказалась одна из двух групп работников сельского хозяйства, сформированных из 500 человек, собранных по всей стране. Вторая команда собрана на базе 103-й отдельной гвардейской воздушно-десантной бригады в Витебске: это те, кто подлежит призыву и приписаны к военным комиссариатам. С ними уже проведены мероприятия по слаживанию, восстановлению навыков военно-учетной специальности. По словам Вольфовича, сейчас они вместе с представителями ССО «выполняют задачи по прикрытию южных рубежей»: выполняют мероприятия по фортификационному оборудованию местности, учебно-боевые задачи по патрулированию особо опасных направлений украинско-белорусской границы. Глава Совбеза поделился увиденным в железнодорожной бригаде: Было интересно пообщаться с этой категорией граждан и заслушать командиров. По отзывам командиров, они добросовестно выполняют задачи, стараются быть образцовыми военнослужащими. Вот, что значит армейский быт, уклад, четкая постановка задач, спрос. Людей поставили в армейские рамки, у них четкий, жесткий распорядок. При этом чиновник любопытно сместил акцент, переведя фокус с рядовых работников, оказавшихся по капризу Лукашенко в армии, на их начальство: «Где руководитель четко ставит задачи, определенные рубежи на день, на неделю — там есть результат. Там и уборка идет слаженно, вовремя, там и дело спорится. Точно так же и здесь». Эти слова красноречиво перекликаются с признанием правителя, прозвучавшим на прошлой неделе: Мы не смогли их организовать. А в армии Хренин со своими офицерами организовал их деятельность и просит их наградить. Может ли опыт аграрного сектора быть перенесен на другие отрасли? Вольфович, похоже, прозрачно намекнул на то, что все возможно: «Сегодня жизнь заставляет каждого гражданина Республики Беларусь выполнять свои задачи качественно, точно и в срок. Это касается всех: военных, учителей, врачей, ну и тем более руководителей сельхозпредприятий».",16593556b07644f587ae19b7083c9623d5a65370731c2a69654605ae42204808,2492,false,2345,generic_html,,,,,
1.0,https://charter97.org/ru/news/2026/9/4/697253,Хартия-97,Беларусь,2026-09-04T09:32:20+00:00,feed:https://charter97.org/ru/rss/society/,В Беларуси расширили список профессий для воинского учета женщин,REJECT,relevance_rejected,needs_text,нет связки социальной темы и проблемы,"TITLE: В Беларуси расширили список профессий для воинского учета женщин
SUMMARY: Под армейский учет попадает все больше специальностей.
TEXT: Под армейский учет попадает все больше специальностей. В Беларуси обновили перечень специальностей, по которым женщины подлежат первоначальному приему на воинский учет. Документ опубликован на Национальном правовом интернет-портале. В Министерстве обороны объяснили, кого коснутся изменения и что делать тем, чья специальность появилась в списке только в 2026 году. Как пояснила официальный представитель Министерства обороны Беларуси подполковник Наталья Гаврусик , сам перечень существует уже много лет. «Обновился он лишь потому, что в медицине появились новые специальности, а некоторые начали называться иначе», - рассказала она. Как и прежде, государство учитывает как военнообязанных женщин, достигших 19 лет и получивших специальность, которая входит в перечень. При этом Минобороны отдельно разъяснило ситуацию для тех, чья специальность попала в список только после нынешнего обновления. «Если на момент 1 января 2026 года вы уже дипломированный специалист и вам 20 и более лет, на учет становиться не нужно», - подчеркнула Гаврусик. Остальным девушкам, которые получат специальность из обновленного перечня, необходимо обратиться в военкомат по месту жительства. С собой нужно взять паспорт, копию диплома и фотографию, а на месте написать заявление. В перечень вошли специальности среднего специального образования «Ветеринарная медицина», «Лечебное дело», «Сестринское дело», «Медико-диагностическое дело» и «Фармация». Для общего высшего образования указано «Сестринское дело». Среди специальностей специального высшего образования - «Лечебное дело», «Медико-профилактическое дело», «Медико-диагностическое дело» и «Фармация». Также в перечне есть специальности переподготовки на базе среднего специального образования: «Амбулаторно-поликлиническая помощь», «Анестезиология», «Рентгенология», «Хирургия» и «Медицинское обеспечение воинской деятельности». Обновленный перечень определяет специальности, необходимые для Вооруженных Сил, других войск и воинских формирований, по которым женщины с 19-летнего возраста подлежат первоначальному приему на воинский учет.",36a111aeb31110b161b939714753a73ef43e5cee2b65a002b3e29da929aead0c,2219,false,2077,generic_html,,,,,
