enabled,country,country_code,locality,rank,priority,name,source_type,domain,start_url,language,adapter,feed_url,sitemap_url,collection_hint,access,telegram_url
True,Брестская область,BY-BR,Брест,1,A,BGmedia,website,bgmedia.site,https://bgmedia.site/,ru/be,robust_article,https://bgmedia.site/feed/,https://bgmedia.site/wp-sitemap.xml,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Брестская область,BY-BR,Полесье,2,A,Медиа-Полесье,website,media-polesye.com,https://media-polesye.com/,ru,standard,https://media-polesye.com/feed/,https://media-polesye.com/sitemap_index.xml,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Брестская область,BY-BR,Брест,3,A,Виртуальный Брест,website,virtualbrest.ru,https://virtualbrest.ru/,ru,numeric_articles,https://virtualbrest.ru/rss/news.php,https://virtualbrest.ru/sitemap_new.xml,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Брестская область,BY-BR,Брест,4,A,БрестСИТИ,website,brestcity.com,https://brestcity.com/blog/,ru,robust_article,,https://brestcity.com/blog/sitemap_index.xml,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Брестская область,BY-BR,Брест,5,A,Брест Live,telegram,t.me,https://t.me/binklbinkl,ru,telegram,,,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Витебская область,BY-VI,Витебск,1,A,Витебский курьер,website,vkurier.by,https://vkurier.by/,ru,numeric_articles,https://vkurier.by/news/feed,https://vkurier.by/sitemap.xml,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Витебская область,BY-VI,Витебская область,2,B,Витебская Весна,website,vitebskspring.org,https://vitebskspring.org/,be,standard,https://vitebskspring.org/?format=feed&type=rss,,RSS/sitemap/homepage или публичная Telegram-лента,публичный
False,Витебская область,BY-VI,Витебск,3,A,Свободный Витебск,telegram,t.me,https://t.me/free_vtb,ru,telegram,,,устаревший канал; действующий Витебск INFO уже настроен отдельной строкой,публичный,
True,Витебская область,BY-VI,Витебск,4,A,Витебск INFO,telegram,t.me,https://t.me/vitebsk_info,ru,telegram,,,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Витебская область,BY-VI,Орша,5,A,Orsha.eu,telegram,t.me,https://t.me/orshaeu,ru/be,telegram,,,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Витебская область,BY-VI,Витебская область,6,B,Витебские вести,telegram,t.me,https://t.me/vitvestiby,ru,telegram,,,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Гомельская область,BY-HO,Гомель,1,A,Белка,website,belkagomel.by,https://belkagomel.by/,ru,standard,https://belkagomel.by/feed/,https://belkagomel.by/sitemap.xml,RSS/sitemap/homepage или публичная Telegram-лента,публичный
True,Гомельская область,BY-HO,Гомель,2,A,Флагшток,website,flagshtok.info,https://flagshtok.info/,ru,standard,,https://flagshtok.info/sitemap-news.xml,RSS/sitemap/homepage или публичная Telegram-лента,публичный
